Model,Seats,Sector,Fuel burn(kg/km),Fuel per seat,haul-flight
Boeing 767-400ER,245,"3,000 nmi (5,600 km)",5.78,2.95 L/100 km (80 mpg‑US)[88],meidum
Boeing 767-400ER,304,"3,000 nmi (5,600 km)",5.93,2.44 L/100 km (96 mpg‑US)[88],meidum
Boeing 767-400ER,304,"3,265 nmi (6,047 km)",5.92,2.43 L/100 km (96.9 mpg‑US)[67],meidum
Boeing 777-200,305,"3,000 nmi (5,600 km)",6.83,2.80 L/100 km (84 mpg‑US)[89],meidum
Boeing 777-200ER,301,"3,000 nmi (5,600 km)",6.96,2.89 L/100 km (81 mpg‑US)[84],meidum
Boeing 777-200ER,301,"6,000 nmi (11,000 km)",7.42,3.08 L/100 km (76 mpg‑US)[84],long
Boeing 777-200ER,301,"6,000 nmi (11,000 km)",7.44,3.09 L/100 km (76 mpg‑US)[89],long
Boeing 777-200LR,291,"4,972 nmi (9,208 km)",7.57,3.25 L/100 km (72 mpg‑US)[85],long
Boeing 777-300,368,"3,000 nmi (5,600 km)",7.88,2.68 L/100 km (88 mpg‑US)[89],meidum
Boeing 777-300ER,365,"6,000 nmi (11,000 km)",8.49,2.91 L/100 km (81 mpg‑US)[89],long
Boeing 777-300ER,344,"7,200 nmi (13,300 km)",8.58,3.11 L/100 km (76 mpg‑US)[94],long
Boeing 777-9X,395,"7,200 nmi (13,300 km)",7.69,2.42 L/100 km (97 mpg‑US)[94],long
Boeing 787-8,291,"3,400 nmi (6,300 km)",5.26,2.26 L/100 km (104 mpg‑US)[86],meidum
Boeing 787-8,238,"3,400 nmi (6,300 km)",5.11,2.68 L/100 km (88 mpg‑US)[83],meidum
Boeing 787-8,243,"4,650 nmi (8,610 km)",5.38,2.77 L/100 km (85 mpg‑US)[92],long
Boeing 787-9,304,"3,350 nmi (6,200 km)",5.77,2.37 L/100 km (99 mpg‑US)[85],meidum
Boeing 787-9,294,"4,650 nmi (8,610 km)",5.85,2.49 L/100 km (94 mpg‑US)[92],long
Boeing 787-9,304,"4,972 nmi (9,208 km)",5.63,2.31 L/100 km (102 mpg‑US)[85],long
Boeing 787-9,291,"6,542 nmi (12,116 km)",7.18,3.08 L/100 km (76 mpg‑US)[93],long
Irkut MC-21,163,"1,750 nmi (3,240 km)",3.04,2.33 L/100 km (101 mpg‑US)[90],meidum
Quest Kodiak,9,,0.71,6.28 L/100 km (37.5 mpg‑US)[80],short
